Location,Startup, Lat, Ln
Flims,2011.0,46.8366348,9.284692300000001
Flims,2012.0,46.8366348,9.284692300000001
Flims,2013.0,46.8366348,9.284692300000001
"Tegna, Ponte Brolla",1904.0,,
Soyhières,1905.0,,
Rässenaueli,1905.0,,
"Lauterbrunnen, Stechelberg",1905.0,,
"Kerns, Wisserlen",1905.0,,
Grafenort,1905.0,46.8200266,8.4069918
Grafenort,1963.0,46.8200266,8.4069918
Wolhusen,1906.0,47.0586361,8.073163300000001
"Oberriet, Blatten",1906.0,,
Montlingen,1906.0,47.334162400000004,9.584806599999999
Lienz,1906.0,47.377463299999995,9.5469133
"Fontanney, Les Farettes",1906.0,,
Chironico,1907.0,46.42215039999999,8.8436177
St. Léonard,1907.0,,
Campocologno,1907.0,46.23235,10.132019999999999
Campocologno,1950.0,46.23235,10.132019999999999
Trin Mulin,1907.0,46.834109999999995,9.340810000000001
Chippis,1908.0,46.279507200000005,7.541926899999999
Chippis,1911.0,46.279507200000005,7.541926899999999
Montcherand,1908.0,46.73381000000001,6.50864
Martigny-Bourg,1908.0,46.09243499999999,7.068478999999999
Unterägeri,1908.0,,
Netstal,1908.0,47.0633697,9.0550398
Netstal,1912.0,47.0633697,9.0550398
Netstal,1923.0,47.0633697,9.0550398
"Amden, Muslen",1908.0,,
Lütschental,1908.0,,
Schaffhausen,1909.0,47.6958897,8.6380489
Schaffhausen,1964.0,47.6958897,8.6380489
Felsenau,1909.0,46.97294829999999,7.440753900000001
"Stalden, Ackersand",1909.0,,
"Stalden, Ackersand",1959.0,,
Echelles de la Mort,1909.0,47.1862418,6.8721628
"Nesslau, Schneit",1909.0,,
Baden,1909.0,47.472879999999996,8.30809
Baden,2013.0,47.472879999999996,8.30809
"Dalaloch, Leuk-Stadt",1909.0,,
"Murg, unterhalb Gödis",1909.0,,
Sils im Domleschg,1910.0,46.7019286,9.4555982
Monthey,1910.0,46.252187299999996,6.9469598
Monthey,1992.0,46.252187299999996,6.9469598
"Fribourg, Oelberg",1910.0,,
Amsteg,1910.0,46.79173549999999,8.6694779
Amsteg,1923.0,46.79173549999999,8.6694779
Amsteg,1998.0,46.79173549999999,8.6694779
"S. Carlo, Robbia",1910.0,,
Inner-Kandergrund,1911.0,46.5443255,7.662839
Grenzach-Wyhlen,1912.0,47.5523554,7.658088100000001
Sennwald,1912.0,47.2612316,9.5042435
Augst,1912.0,47.53389,7.721349999999998
Zwingen,1913.0,47.43715659999999,7.530886600000001
Kallnach,1913.0,47.018347399999996,7.235455900000001
"Ormont-Dessous, Le Pont",1913.0,,
"Lüen, Tewald",1914.0,,
"Lüen, Tewald",2013.0,,
Laufenburg,1914.0,47.502947999999996,8.0223883
Choindez,1914.0,47.32071,7.3804500000000015
Realp,1914.0,46.599225700000005,8.5026469
Realp,2017.0,46.599225700000005,8.5026469
Boudry,1914.0,46.9542921,6.8478409
Boudry,2014.0,46.9542921,6.8478409
Blatten,1915.0,46.4201048,7.8199932
Blatten,2012.0,46.4201048,7.8199932
Blatten,2019.0,46.4201048,7.8199932
Bramois,1915.0,46.233417200000005,7.4056447
Bramois,1953.0,46.233417200000005,7.4056447
"Fully, Lac Inf. dé Fully",1915.0,,
Thun,1917.0,46.7579868,7.6279881
Thun,1962.0,46.7579868,7.6279881
