Anlage_Energieträger,Anlagentyp,Leistung [kW],Anlage_Inbetriebnahme,Anlage_PLZ,Anlage_Ort,Anlage_Kanton
Photovoltaik,Integrierte Anlage,20,19.12.11,6174,Sörenberg,LU
Photovoltaik,Angebaute Anlage,20,05.12.11,3323,Bäriswil,BE
Photovoltaik,Angebaute Anlage,20,28.09.12,4663,Aarburg,AG
Photovoltaik,Angebaute Anlage,20,13.12.13,1162,St-Prex,VD
Photovoltaik,Integrierte Anlage,20,21.12.11,1252,Meinier,GE
Photovoltaik,Integrierte Anlage,20,19.01.09,8722,Kaltbrunn,SG
Photovoltaik,Angebaute Anlage,20,01.09.09,8225,Siblingen,SH
Photovoltaik,Angebaute Anlage,20,23.07.09,6204,Sempach,LU
Photovoltaik,Integrierte Anlage,20,05.10.11,3144,Gasel,BE
Photovoltaik,Angebaute Anlage,20,01.12.07,1623,Semsales,FR
Photovoltaik,Angebaute Anlage,20,20.02.08,5035,Unterentfelden,AG
Photovoltaik,Angebaute Anlage,20,23.12.11,3153,Rüschegg-Ganbach,BE
Photovoltaik,Integrierte Anlage,20,02.12.09,1225,Chêne-Bourg,GE
Photovoltaik,Integrierte Anlage,20,11.05.12,3657,Schwanden,BE
Photovoltaik,Angebaute Anlage,20,30.07.10,1209,Genève,GE
Photovoltaik,Angebaute Anlage,20,08.08.11,6422,Steinen,SZ
Photovoltaik,Angebaute Anlage,20,23.08.11,5102,Rupperswil,AG
Photovoltaik,Angebaute Anlage,20,29.08.12,2544,Bettlach,SO
Photovoltaik,Angebaute Anlage,20,31.10.11,1020,Renens,VD
Photovoltaik,Angebaute Anlage,20,26.03.15,9466,Sennwald,SG
Photovoltaik,Angebaute Anlage,20,12.12.11,7415,Rodels,GR
Photovoltaik,Angebaute Anlage,20,25.07.08,9508,Weingarten,TG
Photovoltaik,Angebaute Anlage,20,09.12.13,5043,Holziken,AG
Photovoltaik,Angebaute Anlage,20.1,24.09.12,4144,Arlesheim,BL
Photovoltaik,Angebaute Anlage,20.1,30.12.10,1219,Aïre,GE
Photovoltaik,Angebaute Anlage,20.1,26.07.12,3938,Ausserberg,VS
Photovoltaik,Angebaute Anlage,20.1,28.09.12,3063,Ittigen,BE
Photovoltaik,Integrierte Anlage,20.2,21.07.15,9630,Wattwil,SG
Photovoltaik,Integrierte Anlage,20.2,07.10.08,9050,Appenzell,AI
Photovoltaik,Angebaute Anlage,20.2,28.05.09,6646,Contra,TI
Photovoltaik,Angebaute Anlage,20.2,14.05.08,5004,Aarau,AG
Photovoltaik,Angebaute Anlage,20.2,10.12.10,7433,Donat,GR
Photovoltaik,Angebaute Anlage,20.2,07.05.13,6874,Castel San Pietro,TI
Photovoltaik,Integrierte Anlage,20.2,22.10.10,3049,Säriswil,BE
Photovoltaik,Angebaute Anlage,20.2,27.04.10,1228,Plan-les-Ouates,GE
Photovoltaik,Integrierte Anlage,20.2,28.11.13,8932,Mettmenstetten,ZH
Photovoltaik,Angebaute Anlage,20.2,22.12.10,1233,Bernex,GE
Photovoltaik,Angebaute Anlage,20.2,22.12.10,5412,Gebenstorf,AG
Photovoltaik,Integrierte Anlage,20.2,11.12.13,7078,Lenzerheide,GR
Photovoltaik,Integrierte Anlage,20.2,30.12.10,3638,Blumenstein,BE
Photovoltaik,Angebaute Anlage,20.2,28.04.11,4622,Egerkingen,SO
Photovoltaik,Integrierte Anlage,20.2,09.11.11,3624,Schwendibach,BE
Photovoltaik,Integrierte Anlage,20.3,21.12.11,4304,Giebenach,BL
Photovoltaik,Angebaute Anlage,20.3,14.09.12,9525,Lenggenwil,SG
Photovoltaik,Angebaute Anlage,20.3,26.03.15,6289,Hämikon,LU
Photovoltaik,Angebaute Anlage,20.3,27.03.15,6106,Werthenstein,LU
Photovoltaik,Angebaute Anlage,20.3,29.09.15,3943,Eischoll,VS
Photovoltaik,Angebaute Anlage,20.3,11.02.08,8254,Basadingen,TG
Photovoltaik,Angebaute Anlage,20.3,14.03.08,8524,Buch,TG
Photovoltaik,Integrierte Anlage,20.3,16.12.11,6174,Sörenberg,LU
Photovoltaik,Integrierte Anlage,20.3,20.04.11,3773,Matten,BE
Photovoltaik,Integrierte Anlage,20.3,18.08.12,6064,Kerns,OW
Photovoltaik,Angebaute Anlage,20.4,30.01.12,3257,Grossaffoltern,BE
Photovoltaik,Integrierte Anlage,20.4,30.06.11,2336,Les Bois,JU
Photovoltaik,Integrierte Anlage,20.4,27.09.13,8162,Steinmaur,ZH
Photovoltaik,Angebaute Anlage,20.4,20.07.11,4466,Ormalingen,BL
Photovoltaik,Integrierte Anlage,20.5,26.07.12,3054,Schüpfen,BE
Photovoltaik,Angebaute Anlage,20.5,23.12.11,5210,Windisch,AG
Photovoltaik,Angebaute Anlage,20.5,11.11.11,8507,Hörhausen,TG
Photovoltaik,Angebaute Anlage,20.5,26.09.12,8912,Obfelden,ZH
Photovoltaik,Angebaute Anlage,20.5,19.12.11,6048,Horw,LU
Photovoltaik,Angebaute Anlage,20.5,29.05.09,4102,Binningen,BL
Photovoltaik,Angebaute Anlage,20.5,12.08.09,9500,Wil,SG
Photovoltaik,Angebaute Anlage,20.5,12.10.10,9608,Ganterschwil,SG
Photovoltaik,Angebaute Anlage,20.5,31.10.10,4617,Gunzgen,SO
Photovoltaik,Angebaute Anlage,20.5,17.08.11,9437,Marbach,SG
Photovoltaik,Angebaute Anlage,20.5,10.11.11,5425,Schneisingen,AG
Photovoltaik,Integrierte Anlage,20.5,10.12.09,4053,Basel,BS
Photovoltaik,Angebaute Anlage,20.5,22.03.12,2540,Grenchen,SO
Photovoltaik,Angebaute Anlage,20.5,25.07.11,3942,Raron,VS
Photovoltaik,Integrierte Anlage,20.6,05.09.07,3043,Uettligen,BE
Photovoltaik,Angebaute Anlage,20.6,01.06.09,6900,Paradiso,TI
Photovoltaik,Integrierte Anlage,20.6,25.05.10,5053,Staffelbach,AG
Photovoltaik,Integrierte Anlage,20.6,06.09.12,8162,Steinmaur,ZH
Photovoltaik,Angebaute Anlage,20.6,12.07.12,4702,Oensingen,SO
Photovoltaik,Angebaute Anlage,20.7,24.06.16,9436,Balgach,SG
Photovoltaik,Angebaute Anlage,20.7,18.08.11,5072,Oeschgen,AG
Photovoltaik,Angebaute Anlage,20.7,15.07.11,5444,Künten,AG
Photovoltaik,Integrierte Anlage,20.7,04.09.12,3700,Spiez,BE
Photovoltaik,Integrierte Anlage,20.7,28.10.09,1486,Vuissens,FR
Photovoltaik,Integrierte Anlage,20.7,15.05.09,1266,Duillier,VD
Photovoltaik,Angebaute Anlage,20.7,26.05.14,8156,Oberhasli,ZH
Photovoltaik,Integrierte Anlage,20.7,01.12.09,6968,Sonvico,TI
Photovoltaik,Integrierte Anlage,20.7,30.11.09,6106,Werthenstein,LU
Photovoltaik,Angebaute Anlage,20.7,26.11.09,8824,Schönenberg,ZH
Photovoltaik,Angebaute Anlage,20.7,17.10.09,5037,Muhen,AG
Photovoltaik,Integrierte Anlage,20.7,17.12.13,8162,Steinmaur,ZH
Photovoltaik,Integrierte Anlage,20.7,29.09.15,3036,Detligen,BE
Photovoltaik,Angebaute Anlage,20.8,02.12.11,3400,Burgdorf,BE
Photovoltaik,Integrierte Anlage,20.8,24.09.09,8722,Kaltbrunn,SG
Photovoltaik,Angebaute Anlage,20.8,19.09.16,9620,Lichtensteig,SG
Photovoltaik,Angebaute Anlage,20.8,23.10.07,1374,Corcelles-sur-Chavornay,VD
Photovoltaik,Integrierte Anlage,20.8,08.11.10,3439,Ranflüh,BE
Photovoltaik,Angebaute Anlage,20.8,06.10.14,6038,Gisikon,LU
Photovoltaik,Integrierte Anlage,20.8,14.12.13,1634,La Roche,FR
Photovoltaik,Angebaute Anlage,20.8,22.11.10,6900,Massagno,TI
Photovoltaik,Angebaute Anlage,20.8,05.08.16,9633,Hemberg,SG
Photovoltaik,Integrierte Anlage,20.8,31.03.15,6197,Schangnau,BE
Photovoltaik,Angebaute Anlage,20.8,27.03.15,7745,Li Curt,GR
Photovoltaik,Angebaute Anlage,20.8,26.12.11,8737,Gommiswald,SG
Photovoltaik,Angebaute Anlage,20.8,05.09.13,2916,Fahy,JU
Photovoltaik,Angebaute Anlage,20.9,29.09.15,2826,Corban,JU
Photovoltaik,Angebaute Anlage,20.9,20.03.15,9306,Freidorf,TG
Photovoltaik,Angebaute Anlage,20.9,28.09.16,6472,Erstfeld,UR
Photovoltaik,Angebaute Anlage,20.9,28.09.16,6472,Erstfeld,UR
Photovoltaik,Integrierte Anlage,20.9,30.04.09,3785,Gsteig b. Gstaad,BE
Photovoltaik,Integrierte Anlage,20.9,16.10.08,1412,Valeyres-sous-Ursins,VD
Photovoltaik,Integrierte Anlage,20.9,01.10.07,1454,L'Auberson,VD
Photovoltaik,Angebaute Anlage,20.9,06.10.09,8632,Tann,ZH
Photovoltaik,Integrierte Anlage,20.9,25.09.13,3315,Bätterkinden,BE
Photovoltaik,Angebaute Anlage,20.9,25.10.10,4053,Basel,BS
Photovoltaik,Angebaute Anlage,20.9,19.12.13,6965,Cadro,TI
Photovoltaik,Angebaute Anlage,20.9,16.01.15,7106,Tenna,GR
Photovoltaik,Angebaute Anlage,20.9,28.12.11,3986,Ried-Mörel,VS
Photovoltaik,Integrierte Anlage,20.9,10.03.16,8713,Ürikon,ZH
Photovoltaik,Integrierte Anlage,21,20.12.11,3538,Röthenbach i.E.,BE
Photovoltaik,Integrierte Anlage,21,14.12.09,6055,Alpnach Dorf,OW
Photovoltaik,Angebaute Anlage,21,08.01.08,3158,Guggisberg,BE
Photovoltaik,Integrierte Anlage,21,09.07.13,8132,Egg,ZH
Photovoltaik,Angebaute Anlage,21,20.05.09,9113,Degersheim,SG
Photovoltaik,Angebaute Anlage,21,09.05.08,3073,Guemlingen,BE
Photovoltaik,Angebaute Anlage,21,02.07.09,7433,Lohn,GR
Photovoltaik,Integrierte Anlage,21,07.09.09,3036,Detligen,BE
Photovoltaik,Angebaute Anlage,21,26.03.14,3292,Busswil bei Büren,BE
Photovoltaik,Integrierte Anlage,21,16.07.12,6375,Beckenried,NW
Photovoltaik,Angebaute Anlage,21,22.06.10,3072,Ostermundigen,BE
Photovoltaik,Integrierte Anlage,21,13.03.13,6222,Gunzwil,LU
Photovoltaik,Angebaute Anlage,21,26.11.09,8727,Walde,SG
Photovoltaik,Angebaute Anlage,21,02.05.12,6242,Wauwil,LU
Photovoltaik,Angebaute Anlage,21,05.10.11,1232,Confignon,GE
Photovoltaik,Angebaute Anlage,21,15.02.12,6106,Werthenstein,LU
Photovoltaik,Angebaute Anlage,21,21.10.11,9204,Andwil,SG
Photovoltaik,Angebaute Anlage,21,23.03.15,8197,Rafz,ZH
Photovoltaik,Angebaute Anlage,21.1,20.11.11,9500,Wil,SG
Photovoltaik,Integrierte Anlage,21.1,27.08.12,2832,Rebeuvelier,JU
Photovoltaik,Angebaute Anlage,21.1,20.02.15,6146,Grossdietwil,LU
Photovoltaik,Integrierte Anlage,21.1,20.09.17,3042,Ortschwaben,BE
Photovoltaik,Angebaute Anlage,21.1,10.06.08,8500,Frauenfeld,TG
Photovoltaik,Angebaute Anlage,21.1,16.12.13,1217,Meyrin,GE
Photovoltaik,Angebaute Anlage,21.1,30.11.10,6648,Minusio,TI
Photovoltaik,Integrierte Anlage,21.1,12.07.12,3237,Brüttelen,BE
Photovoltaik,Angebaute Anlage,21.1,26.11.10,6016,Hellbühl,LU
Photovoltaik,Angebaute Anlage,21.1,10.11.11,3204,Rosshäusern,BE
Photovoltaik,Angebaute Anlage,21.2,04.06.09,4852,Rothrist,AG
Photovoltaik,Integrierte Anlage,21.2,26.09.12,3645,Gwatt,BE
Photovoltaik,Angebaute Anlage,21.2,09.05.11,1262,Eysins,VD
Photovoltaik,Angebaute Anlage,21.2,25.06.09,3656,Ringoldswil,BE
Photovoltaik,Angebaute Anlage,21.2,10.10.09,9451,Kriessern,SG
Photovoltaik,Integrierte Anlage,21.2,25.01.12,3438,Lauperswil,BE
Photovoltaik,Angebaute Anlage,21.2,19.09.14,8330,Pfäffikon,ZH
Photovoltaik,Integrierte Anlage,21.2,16.04.10,5027,Herznach,AG
Photovoltaik,Angebaute Anlage,21.2,18.08.10,6017,Ruswil,LU
Photovoltaik,Angebaute Anlage,21.2,30.11.15,9108,Gonten,AI
Photovoltaik,Angebaute Anlage,21.3,01.12.11,3457,Wasen,BE
Photovoltaik,Angebaute Anlage,21.3,27.09.12,7443,Pignia,GR
Photovoltaik,Integrierte Anlage,21.3,01.04.12,6016,Hellbühl,LU
Photovoltaik,Angebaute Anlage,21.3,22.12.10,1233,Bernex,GE
Photovoltaik,Angebaute Anlage,21.3,22.07.11,9534,Gähwil,SG
Photovoltaik,Angebaute Anlage,21.3,29.03.11,4416,Bubendorf,BL
Photovoltaik,Angebaute Anlage,21.3,28.12.12,6373,Ennetbürgen,NW
Photovoltaik,Angebaute Anlage,21.3,23.03.17,6217,Kottwil,LU
Photovoltaik,Angebaute Anlage,21.3,01.09.12,5630,Muri,AG
Photovoltaik,Angebaute Anlage,21.3,18.11.13,5610,Wohlen,AG
Photovoltaik,Integrierte Anlage,21.4,05.07.12,3714,Frutigen,BE
Photovoltaik,Angebaute Anlage,21.4,20.03.12,5443,Niederrohrdorf,AG
Photovoltaik,Angebaute Anlage,21.4,25.11.11,5415,Rieden,AG
Photovoltaik,Angebaute Anlage,21.4,28.12.11,4702,Oensingen,SO
Photovoltaik,Angebaute Anlage,21.4,29.04.08,8355,Aadorf,TG
Photovoltaik,Angebaute Anlage,21.4,30.07.08,9216,Hohentannen,TG
Photovoltaik,Angebaute Anlage,21.4,24.04.09,8506,Lanzenneunforn,TG
Photovoltaik,Angebaute Anlage,21.4,16.12.11,8847,Egg SZ,SZ
Photovoltaik,Angebaute Anlage,21.5,25.09.09,9450,Altstätten,SG
Photovoltaik,Integrierte Anlage,21.5,30.05.10,3653,Oberhofen,BE
Photovoltaik,Angebaute Anlage,21.5,25.07.14,9322,Egnach,TG
Photovoltaik,Angebaute Anlage,21.5,04.04.11,6122,Menznau,LU
Photovoltaik,Angebaute Anlage,21.6,16.09.10,3225,Müntschemier,BE
Photovoltaik,Angebaute Anlage,21.6,27.06.12,8910,Affoltern,ZH
Photovoltaik,Angebaute Anlage,21.6,15.10.09,9216,Heldswil,TG
Photovoltaik,Angebaute Anlage,21.6,10.11.08,9515,Hosenruck,TG
Photovoltaik,Angebaute Anlage,21.6,01.06.08,8595,Altnau,TG
Photovoltaik,Angebaute Anlage,21.6,17.09.09,3315,Bätterkinden,BE
Photovoltaik,Integrierte Anlage,21.6,28.10.11,2416,Les Brenets,NE
Photovoltaik,Angebaute Anlage,21.6,16.03.09,6944,Cureglia,TI
Photovoltaik,Angebaute Anlage,21.6,16.12.13,1217,Meyrin,GE
Photovoltaik,Integrierte Anlage,21.6,25.06.10,6012,Obernau,LU
Photovoltaik,Freistehende Anlage,21.6,01.12.11,8634,Hombrechtikon,ZH
Photovoltaik,Integrierte Anlage,21.6,19.08.06,1474,Châbles,FR
Photovoltaik,Angebaute Anlage,21.6,14.12.10,8215,Hallau,SH
Photovoltaik,Integrierte Anlage,21.6,30.09.10,9037,Speicherschwendi,AR
Photovoltaik,Angebaute Anlage,21.6,20.12.11,8707,Uetikon am See,ZH
Photovoltaik,Angebaute Anlage,21.6,22.05.15,9652,Neu St. Johann,SG
Photovoltaik,Integrierte Anlage,21.6,30.07.12,8162,Steinmaur,ZH
Photovoltaik,Angebaute Anlage,21.6,15.11.11,3380,Wangen,BE
Photovoltaik,Angebaute Anlage,21.6,30.11.11,4115,Mariastein,SO
Photovoltaik,Angebaute Anlage,21.6,16.09.15,3464,Schmidigen-Mühleweg,BE
Photovoltaik,Angebaute Anlage,21.7,03.05.12,5332,Oberentfelden,AG
Photovoltaik,Angebaute Anlage,21.7,26.03.14,2300,La-Chaux-De-Fonds,NE
Photovoltaik,Angebaute Anlage,21.7,19.12.11,1744,Chénens,FR
Photovoltaik,Angebaute Anlage,21.7,26.07.10,1273,Arzier,VD
Photovoltaik,Integrierte Anlage,21.7,30.04.12,4616,Kappel,SO
Photovoltaik,Integrierte Anlage,21.8,11.02.15,3920,Zermatt,VS
Photovoltaik,Angebaute Anlage,21.8,31.08.13,7550,Scuol,GR
Photovoltaik,Integrierte Anlage,21.8,04.11.10,8700,Küsnacht,ZH
Photovoltaik,Angebaute Anlage,21.8,02.05.12,6060,Sarnen,OW
Photovoltaik,Integrierte Anlage,21.8,24.12.08,3427,Utzenstorf,BE
Photovoltaik,Angebaute Anlage,21.8,28.04.08,8241,Barzheim,SH
Photovoltaik,Angebaute Anlage,21.8,13.05.11,9642,Ebnat-Kappel,SG
Photovoltaik,Angebaute Anlage,21.8,20.12.13,5443,Niederrohrdorf,AG
Photovoltaik,Angebaute Anlage,21.8,20.10.16,7247,Saas i. P.,GR
Photovoltaik,Angebaute Anlage,21.8,30.03.16,2300,La Chaux-de-Fonds,NE
Photovoltaik,Integrierte Anlage,21.8,24.03.15,3772,St. Stephan,BE
Photovoltaik,Angebaute Anlage,21.8,21.06.16,9200,Gossau,SG
Photovoltaik,Angebaute Anlage,21.8,18.09.15,6363,Obbürgen NW,NW
Photovoltaik,Angebaute Anlage,21.8,28.02.12,4900,Langenthal,BE
Photovoltaik,Angebaute Anlage,21.9,28.09.12,1586,Vallamand,VD
Photovoltaik,Integrierte Anlage,21.9,07.12.11,4539,Rumisberg,BE
Photovoltaik,Angebaute Anlage,21.9,24.09.07,8536,Hüttwilen,TG
Photovoltaik,Integrierte Anlage,21.9,07.12.11,1083,Mézières VD,VD
Photovoltaik,Angebaute Anlage,21.9,07.09.12,9467,Frümsen,SG
Photovoltaik,Integrierte Anlage,21.9,28.09.12,6952,Canobbio,TI
Photovoltaik,Integrierte Anlage,21.9,17.06.11,2572,Sutz,BE
Photovoltaik,Integrierte Anlage,21.9,24.11.11,8627,Grüningen,ZH
Photovoltaik,Angebaute Anlage,21.9,21.10.11,8908,Hedingen,ZH
Photovoltaik,Integrierte Anlage,22,30.07.09,8750,Glarus,GL
Photovoltaik,Integrierte Anlage,22,23.03.10,5618,Bettwil,AG
Photovoltaik,Angebaute Anlage,22,15.11.12,8756,Mitlödi,GL
Photovoltaik,Angebaute Anlage,22,28.09.10,8810,Horgen,ZH
Photovoltaik,Angebaute Anlage,22,21.03.11,8880,Walenstadt,SG
Photovoltaik,Angebaute Anlage,22,06.09.12,6125,Menzberg,LU
Photovoltaik,Angebaute Anlage,22,26.05.11,6423,Seewen,SZ
Photovoltaik,Integrierte Anlage,22,20.05.16,7082,Vaz/Obervaz,GR
Photovoltaik,Angebaute Anlage,22,26.01.16,9467,Frümsen,SG
Photovoltaik,Angebaute Anlage,22,28.11.11,3089,Hinterfultigen,BE
Photovoltaik,Integrierte Anlage,22.1,18.11.11,4148,Pfeffingen,BL
Photovoltaik,Angebaute Anlage,22.1,28.09.12,6122,Menznau,LU
Photovoltaik,Angebaute Anlage,22.1,28.02.12,4144,Arlesheim,BL
Photovoltaik,Angebaute Anlage,22.1,15.11.13,4853,Riken,AG
Photovoltaik,Integrierte Anlage,22.1,22.12.11,1096,Cully,VD
Photovoltaik,Angebaute Anlage,22.1,27.09.12,8240,Thayngen,SH
Photovoltaik,Angebaute Anlage,22.1,23.06.09,4574,Nennigkofen,SO
Photovoltaik,Angebaute Anlage,22.1,16.12.09,8500,Frauenfeld,TG
Photovoltaik,Angebaute Anlage,22.1,13.03.08,8526,Oberneunforn,TG
Photovoltaik,Integrierte Anlage,22.1,16.11.10,8124,Maur,ZH
Photovoltaik,Integrierte Anlage,22.1,08.08.08,7214,Gruesch,GR
Photovoltaik,Angebaute Anlage,22.1,31.03.08,6130,Willisau,LU
Photovoltaik,Integrierte Anlage,22.1,27.09.12,2558,Aegerten,BE
Photovoltaik,Angebaute Anlage,22.1,27.10.08,8840,Einsiedeln,SZ
Photovoltaik,Integrierte Anlage,22.1,01.11.11,3038,Kirchlindach,BE
Photovoltaik,Angebaute Anlage,22.1,18.12.09,4057,Basel,BS
Photovoltaik,Angebaute Anlage,22.1,15.10.10,9248,Bichwil,SG
Photovoltaik,Angebaute Anlage,22.1,20.06.11,6218,Ettiswil,LU
Photovoltaik,Integrierte Anlage,22.2,25.06.10,1304,Cossonay-Ville,VD
Photovoltaik,Integrierte Anlage,22.2,29.10.10,4913,Bannwil,BE
Photovoltaik,Angebaute Anlage,22.2,20.12.11,4617,Gunzgen,SO
Photovoltaik,Angebaute Anlage,22.2,11.07.14,8197,Rafz,ZH
Photovoltaik,Integrierte Anlage,22.3,26.11.09,4803,Vordemwald,AG
Photovoltaik,Integrierte Anlage,22.3,27.11.13,3556,Trub,BE
Photovoltaik,Angebaute Anlage,22.3,05.04.11,4558,Winistorf,SO
Photovoltaik,Angebaute Anlage,22.3,08.01.10,5507,Mellingen,AG
Photovoltaik,Integrierte Anlage,22.4,18.07.12,8162,Steinmaur,ZH
Photovoltaik,Angebaute Anlage,22.4,24.03.14,1400,Yverdon Le Bains,VD
Photovoltaik,Angebaute Anlage,22.4,28.06.16,3608,Thun,BE
Photovoltaik,Integrierte Anlage,22.4,10.12.10,3043,Uettligen,BE
Photovoltaik,Angebaute Anlage,22.4,11.01.11,4055,Basel,BS
Photovoltaik,Integrierte Anlage,22.4,08.06.12,3415,Schafhausen,BE
Photovoltaik,Angebaute Anlage,22.4,30.12.11,3982,Bitsch,VS
Photovoltaik,Integrierte Anlage,22.5,19.11.06,9034,Eggersriet,SG
Photovoltaik,Angebaute Anlage,22.5,25.05.11,8565,Hugelshofen,TG
Photovoltaik,Integrierte Anlage,22.5,18.04.08,7500,St.Moritz,GR
Photovoltaik,Angebaute Anlage,22.5,01.11.10,3775,Lenk im Simmental,BE
Photovoltaik,Integrierte Anlage,22.5,06.07.12,6330,Cham,ZG
Photovoltaik,Integrierte Anlage,22.5,28.09.12,8442,Hettlingen,ZH
Photovoltaik,Integrierte Anlage,22.5,20.08.12,3045,Meikirch,BE
Photovoltaik,Angebaute Anlage,22.5,11.11.11,3765,Oberwil im Simmental,BE
Photovoltaik,Angebaute Anlage,22.6,24.09.12,7551,Ftan,GR
Photovoltaik,Angebaute Anlage,22.6,22.04.08,5622,Waltenschwil,AG
Photovoltaik,Integrierte Anlage,22.6,15.07.09,5600,Lenzburg,AG
Photovoltaik,Angebaute Anlage,22.6,26.11.08,8415,Gräslikon,ZH
Photovoltaik,Integrierte Anlage,22.6,19.07.12,3032,Hinterkappelen,BE
Photovoltaik,Angebaute Anlage,22.6,07.08.15,3942,Raron,VS
Photovoltaik,Integrierte Anlage,22.7,24.06.09,3380,Wangen an der Aare,BE
Photovoltaik,Angebaute Anlage,22.7,13.10.11,3858,Hofstetten b. Brienz,BE
Photovoltaik,Angebaute Anlage,22.7,22.11.11,8330,Pfäffikon,ZH
Photovoltaik,Angebaute Anlage,22.7,23.12.11,6234,Triengen,LU
Photovoltaik,Angebaute Anlage,22.8,08.12.11,9633,Hemberg,SG
Photovoltaik,Angebaute Anlage,22.8,29.03.10,6372,Ennetmoos,NW
Photovoltaik,Angebaute Anlage,22.8,19.09.08,3722,Scharnachtal,BE
Photovoltaik,Integrierte Anlage,22.8,11.10.11,9652,Neu St. Johann,SG
Photovoltaik,Angebaute Anlage,22.8,14.06.11,3422,Rüdtligen,BE
Photovoltaik,Angebaute Anlage,22.9,20.05.08,4900,Langenthal,BE
Photovoltaik,Angebaute Anlage,22.9,28.09.16,6472,Erstfeld,UR
Photovoltaik,Angebaute Anlage,22.9,06.12.07,2615,Sonvilier,BE
Photovoltaik,Integrierte Anlage,22.9,04.11.10,3043,Uettligen,BE
Photovoltaik,Angebaute Anlage,22.9,28.02.12,9604,Lütisburg / Unterrindal,SG
Photovoltaik,Angebaute Anlage,22.9,20.08.14,9642,Ebnat-Kappel,SG
Photovoltaik,Angebaute Anlage,22.9,27.06.14,6386,Wolfenschiessen,NW
Photovoltaik,Integrierte Anlage,23,24.09.12,8453,Alten,ZH
Photovoltaik,Angebaute Anlage,23,27.12.11,3043,Uettligen,BE
Photovoltaik,Angebaute Anlage,23,30.09.11,9315,Neukirch,TG
Photovoltaik,Integrierte Anlage,23,06.12.11,8772,Nidfurn,GL
Photovoltaik,Integrierte Anlage,23,01.12.08,6834,Morbio Inferiore,TI
Photovoltaik,Angebaute Anlage,23,23.04.10,5246,Scherz,AG
Photovoltaik,Integrierte Anlage,23,03.04.12,8004,Zürich,ZH
Photovoltaik,Angebaute Anlage,23,26.10.10,2903,Villars-sur-Fontenais,JU
Photovoltaik,Angebaute Anlage,23,24.03.11,1228,Plan-les-Ouates,GE
Photovoltaik,Angebaute Anlage,23,20.12.11,8707,Uetikon am See,ZH
Photovoltaik,Angebaute Anlage,23,10.11.11,5442,Fislisbach,AG
Photovoltaik,Angebaute Anlage,23,18.08.11,3063,Ittigen,BE
Photovoltaik,Integrierte Anlage,23,24.11.11,3204,Rosshäusern,BE
Photovoltaik,Integrierte Anlage,23,13.09.12,8162,Steinmaur,ZH
Photovoltaik,Angebaute Anlage,23.1,09.03.15,7232,Furna,GR
Photovoltaik,Integrierte Anlage,23.1,11.05.12,8847,Egg,SZ
Photovoltaik,Angebaute Anlage,23.1,05.03.15,1416,Pailly,VD
Photovoltaik,Angebaute Anlage,23.1,25.07.11,8593,Kesswil,TG
Photovoltaik,Angebaute Anlage,23.2,19.03.09,4103,Bottmingen,BL
Photovoltaik,Angebaute Anlage,23.2,29.09.12,9053,Teufen,AR
Photovoltaik,Angebaute Anlage,23.3,20.12.11,1678,Siviriez,FR
Photovoltaik,Integrierte Anlage,23.3,21.09.07,3144,Gasel,BE
Photovoltaik,Angebaute Anlage,23.3,21.12.11,8240,Thayngen,SH
Photovoltaik,Angebaute Anlage,23.4,18.03.15,3255,Rapperswil,BE
Photovoltaik,Angebaute Anlage,23.4,08.08.12,4632,Trimbach,SO
Photovoltaik,Angebaute Anlage,23.4,20.09.12,5037,Muhen,AG
Photovoltaik,Angebaute Anlage,23.4,13.10.10,1260,Nyon,VD
Photovoltaik,Angebaute Anlage,23.4,05.01.15,8581,Schocherswil,TG
Photovoltaik,Integrierte Anlage,23.4,16.12.11,3225,Müntschemier,BE
Photovoltaik,Angebaute Anlage,23.4,12.12.14,3154,Rüschegg Heubach,BE
Photovoltaik,Angebaute Anlage,23.4,30.09.11,8466,Trüllikon,ZH
Photovoltaik,Integrierte Anlage,23.4,28.09.16,8840,Einsiedeln,SZ
Photovoltaik,Integrierte Anlage,23.4,16.05.12,9010,St. Gallen,SG
Photovoltaik,Angebaute Anlage,23.5,18.02.11,4436,Oberdorf,BL
Photovoltaik,Angebaute Anlage,23.5,28.07.11,4056,Basel,BS
Photovoltaik,Integrierte Anlage,23.5,15.11.16,3785,Gsteig,BE
Photovoltaik,Integrierte Anlage,23.5,06.02.13,6074,Giswil,OW
Photovoltaik,Integrierte Anlage,23.5,08.12.08,5430,Wettingen,AG
Photovoltaik,Integrierte Anlage,23.5,19.11.08,6383,Wiesenberg,NW
Photovoltaik,Angebaute Anlage,23.5,13.10.08,3110,Münsingen,BE
Photovoltaik,Angebaute Anlage,23.5,05.07.12,2855,Glovelier,JU
Photovoltaik,Angebaute Anlage,23.5,18.09.12,7454,Rona,GR
Photovoltaik,Angebaute Anlage,23.5,20.12.10,6030,Ebikon,LU
Photovoltaik,Angebaute Anlage,23.5,06.12.11,7106,Tenna,GR
Photovoltaik,Angebaute Anlage,23.5,23.10.11,6144,Zell,LU
Photovoltaik,Integrierte Anlage,23.6,18.11.11,6170,Schüpfheim,LU
Photovoltaik,Angebaute Anlage,23.6,11.06.08,8586,Kümmertshausen,TG
Photovoltaik,Angebaute Anlage,23.6,09.05.11,1868,Collombey,VS
