ZE-Name,ZE-Standort,ZE-Kanton,ZE-Status,ZE-Erste Inbetriebnahme,ZE-Kote,ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
Meiringen 1,Meiringen,Bern,im Normalbetrieb,1889,632.5,657590,175560
Aarburg,Aarburg,Aargau,im Normalbetrieb,1889,399.1,635120,241020
Moosbrunnen 1 (Gerlafingen 1),Wiler bei Utzenstorf,Bern,im Normalbetrieb,1889,461.8,608050,222770
La Rançonnière,"Les Brenets, La Rançonnière",Neuenburg,im Normalbetrieb,1890,822.69,545090,211580
Valmara,Maroggia,Tessin,im Normalbetrieb,1890,311,719360,88710
Morteratsch,"Pontresina, Morteratsch",Graubünden,im Normalbetrieb,1890,1887.5,792280,147650
"Röllbach, Flums","Flums, Rüfi",St.Gallen,im Normalbetrieb,1890,459.66,745290,216360
Silvaplana,Silvaplana,Graubünden,im Normalbetrieb,1891,1829.5,780870,148080
Lorzentobel 1,Lorzentobel,Zug,im Normalbetrieb,1891,536.76,684600,226090
Matte,"Bern, Matte",Bern,im Normalbetrieb,1891,495,601380,199490
Sand (Rabiusa),"Chur, Sand",Graubünden,im Normalbetrieb,1892,609.85,760470,189850
Ragaz,Ragaz,St.Gallen,im Normalbetrieb,1892,519.19,756850,207510
Kappelerhof,"Baden, Chappelerhof",Aargau,im Normalbetrieb,1892,342,664380,259660
Utzenstorf,Utzenstorf,Bern,im Normalbetrieb,1893,466.66,608150,221660
Hagendorn,Hagendorn,Zug,im Normalbetrieb,1893,397.4,675690,228340
Charmey (Le Perré),"Charmey, Le Perré",Freiburg,im Normalbetrieb,1893,803.02,578790,162630
Aarau Stadt,Aarau,Aargau,im Normalbetrieb,1893,371.74,645090,249500
Niederglatt,Glattmüli,St.Gallen,im Normalbetrieb,1893,527.08,731030,254850
La Goule,Le Noirmont,Jura,im Normalbetrieb,1894,514.34,561370,230990
Frauenkirch,"Davos, Frauenkirch",Graubünden,im Normalbetrieb,1894,1519.52,780770,182470
Interlaken,"Interlaken, Kanal",Bern,im Normalbetrieb,1894,562.9,631480,170240
Le Chalet,Orbe,Waadt,im Normalbetrieb,1894,453.16,529950,175580
Bürglen (Loreto),Bürglen,Uri,im Normalbetrieb,1895,539.2,693360,192440
Töbeli,Töbeli,St.Gallen,im Normalbetrieb,1895,517.76,743400,221050
Erlenholz,Wittenbach,St.Gallen,im Normalbetrieb,1895,543,745480,258060
Waldhalde,Schönenberg,Zürich,im Normalbetrieb,1895,615.5,690190,226040
Wunderklingen,Hallau,Schaffhausen,im Normalbetrieb,1895,414,672720,283470
Moutier (Gorges de Court),Gorges de Court,Bern,im Normalbetrieb,1895,565.42,593690,234910
Plan-de-l'Eau,Brot - Dessous,Neuenburg,stillgelegt,1896,688.54,547100,200460
Plan-Dessous,Aubonne,Waadt,im Normalbetrieb,1896,462,519180,150310
Schiffmühle,"Untersiggenthal, Schiffmüli",Aargau,im Normalbetrieb,1896,340.96,662270,260100
Rathausen,Emmen,Luzern,im Normalbetrieb,1896,425,666500,214900
Taubenloch,Biel-Bözingen,Bern,im Normalbetrieb,1896,503.59,586580,223320
Giessen,"Nesslau, unterer Giessenfall",St.Gallen,im Normalbetrieb,1896,759.94,734120,231170
Montbovon,Montbovon,Freiburg,im Normalbetrieb,1896,778.5,570030,148590
"Untermühle, Cham","Friesencham, Cham",Zug,im Normalbetrieb,1897,402.39,676130,227770
Sevelen,Sevelen,St.Gallen,im Normalbetrieb,1897,474.5,755120,220900
Combe-Garot,"Boudry, Combe-Garot",Neuenburg,im Normalbetrieb,1897,532,551120,201450
Blanches-Fontaines Undervelier,"Undervelier, Blanches-Fontaine",Jura,im Normalbetrieb,1897,553,583560,238240
Rheinfelden,Rheinfelden,Aargau,im Normalbetrieb,1898,264.2,628170,268750
Sublin 1,Bex,Waadt,im Normalbetrieb,1898,555,569280,123820
Lorzentobel 2,"Lorzentobel, Nidfuren",Zug,im Normalbetrieb,1898,600.69,685060,225170
Lochmühle,"Untereggen, Lochmüli",St.Gallen,im Normalbetrieb,1898,474,750880,258540
Weissenburg,Weissenburg,Bern,im Normalbetrieb,1898,856,601950,168410
Höngg,Zürich,Zürich,im Normalbetrieb,1898,398.56,679100,250600
Spiez,Längmad am Thunersee,Bern,im Normalbetrieb,1899,561.9,617310,171740
Schwanden (Gemeinde),Schwanden,Glarus,im Normalbetrieb,1899,535,725370,206270
Massaboden,Bitsch,Wallis,im Normalbetrieb,1899,689.19,644100,131450
Löchli,"Grabs, Löchli",St.Gallen,im Normalbetrieb,1899,613,750960,226890
Glaris,"Davos, Glaris",Graubünden,im Normalbetrieb,1899,1420.62,778610,178760
"Hagneck 1 (M3,M4,M5) Dotieran.",Hagneck,Bern,im Normalbetrieb,1900,440.39,580270,212270
Linthkraft (Stiftung),Linthal,Glarus,im Normalbetrieb,1900,655.45,718640,197730
Kubel,St. Gallen,St.Gallen,im Normalbetrieb,1900,588,742280,251830
Gurtnellen,Gurtnellen,Uri,im Normalbetrieb,1900,750.15,690220,175640
Pravizin 1 (Bruggwiti),Flums,St.Gallen,im Normalbetrieb,1901,624.14,743950,216800
Champéry Etrivouez,"Etrivouez, Grand Paradis",Wallis,im Normalbetrieb,1901,1070,555240,112420
Thun (Eidg.),"Thun, Kanal (Uttigenstr.)",Bern,im Normalbetrieb,1901,553.8,613450,178950
Igiser Mülbach 1 (Landquart 1),Landquart-Fabriken,Graubünden,im Normalbetrieb,1901,541,762960,203140
Sonzier,"Montreux, Sonzier",Waadt,im Normalbetrieb,1901,707.24,560540,143350
Vouvry,"Vouvry, Haut du Village",Wallis,im Umbau,1902,469.67,557100,131790
"Gstaldenbach, Heiden","Heiden, Hinterlochen",Appenzell A.Rh.,im Normalbetrieb,1902,494.56,759020,258960
Hauterive,Hauterive,Freiburg,im Normalbetrieb,1902,573.34,576240,179800
Turgi,Turgi,Aargau,im Normalbetrieb,1902,330.86,661440,260910
Krauchbach,Matt,Glarus,im Normalbetrieb,1902,845,731000,202000
Hospental,Hospental,Uri,im Normalbetrieb,1902,1453,686580,163880
Beznau,Döttingen,Aargau,im Normalbetrieb,1902,326.34,660100,267760
